,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,County,studentNum,Elem_plan,Second_plan,Risk
0,0,0,0,1,Alleghany,2024.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
1,1,1,1,2,Botetourt,4672.0,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
2,2,2,2,4,Craig,588.0,All students in-person 4 days and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
3,3,3,3,5,Roanoke County,13999.0,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
4,4,4,4,6,Salem,3931.0,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students; Staggered) and 3 days virtual ",High
5,5,5,5,7,Arlington,28151.0,All Virtual,All Virtual,Low
6,6,6,6,8,Augusta,10342.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
7,7,7,7,10,Buena Vista City,895.0,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
8,8,8,8,11,Harrisonburg,6613.0,All Virtual,All Virtual,Low
9,9,9,9,13,Lexington,503.0,All students 5 days in-school on shortned schedule,All students 5 days in-school on shortned schedule,High
10,10,10,10,14,Rockbridge,2819.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
11,11,11,11,16,Staunton,2738.0,2 days in-school (50% students) with modified schedule and 3 days virtual ,2 days in-school (50% students) with modified schedule and 3 days virtual ,Moderate
12,12,12,12,17,Waynesboro,2961.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
13,13,13,13,18,Amherst,4115.0,All students 4 days in-school on staggered schedule and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,Moderate
14,14,14,14,20,Bedford,9562.0,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
15,15,15,15,21,Campbell,7921.0,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
16,16,16,16,22,Lynchburg,8238.0,2 days in-school (50% students) and 2 days virtual,All students virtual until September 8,Moderate
17,17,17,17,24,Chesterfield*,62669.0,All Virtual,All Virtual,Low
18,18,18,18,28,Goochland,2619.0,"PK and K, 2 days in-school (50% students) and 3 days virtual ;Grade 1-8 4 days in-person (50% students) and 1 day virtual","Grade 9-12, 2 days in-school (50% students) and 3 days virtual ",Moderate
19,19,19,19,29,Hanover,17541.0,All students 5 days in-school  (reduced and staggered bus timing),All students 5 days in-school  (reduced and staggered bus timing),High
20,20,20,20,39,Buchanan,2676.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
21,21,21,21,40,Dickenson,2064.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
22,22,22,22,41,Russell,3715.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
23,23,23,23,42,Tazewell,5587.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,Moderate
24,24,24,24,43,Accomack,5171.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
25,25,25,25,44,Northampton,1520.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
26,26,26,26,45,Fairfax,188940.0,Selective students 1 day in-school and 4 days virtual ,Selective students 1 day in-school and 4 days virtual ,Low
27,27,27,27,46,Fairfax City,1078.0,All students 1 day in-person and 4 days virtual ,All students 1 day in-person and 4 days virtual ,Low
28,28,28,28,47,Falls Church,2649.0,All virtual,All virtual,Low
29,29,29,29,49,Henrico,51786.0,All virtual,All virtual,Low
30,30,30,30,50,Lee,3192.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
31,31,31,31,51,Norton,818.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
32,32,32,32,52,Scott,3512.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
33,33,33,33,53,Wise,5632.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
34,34,34,34,54,Clarke,1926.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
35,35,35,35,57,Shenandoah,6006.0,All students 4 days in-school and 1 day virtual,1 day in-school (25% students) and 3 day virtual,High
36,36,36,36,59,Winchester,4392.0,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
37,37,37,37,60,Loudoun,83936.0,All virtual,All virtual,Low
