County,Number of Students,Elementary school Plan,Secondary School Plan,Risk,FIPS,Cases
Accomack,5171,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51001,"1,141"
Albermarle,14435,All virtual ,All virtual ,Low,51003,"1,002"
Alexandria,16307,All Virtual,All Virtual,Low,51510,"3,352"
Alleghany,2024,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51005,64
Amelia,1731,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51007,98
Amherst,4115,All students 4 days in-school on staggered schedule and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,Moderate,51009,277
Appomatox,2279,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51011,157
Arlington,28151,All Virtual,All Virtual,Low,51013,"3,492"
Augusta,10342,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51015,354
Bath,530,"All students PK-Grade 2, 4 days in-school and 1 days virtual","All students PK-Grade 2, 4 days in-school and 1 days virtual",High,51017,4
Bedford,9562,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High,51019,526
Bland,693,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51021,42
Botetourt,4672,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High,51023,247
Bristol,2255,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51520,115
Brunswick,1538,All virtual ,All virtual ,Low,51025,281
Buchanan,2676,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51027,97
Buckingham,2113,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51029,644
Buena Vista City,895,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High,51530,72
Campbell,7921,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51031,310
Caroline,4253,All Virtual,All Virtual,Low,51033,256
Carroll,3713,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51035,388
Charles City,620,still planning,Still planning,still Planning,51036,66
Charlotte,1763,All virtual ,All virtual,Low,51037,67
Charolttesville,4549,All Virtual,All Virtual,Low,51540,623
Cheaspeake,41597,All Virtual,All Virtual,Low,51550,"3,685"
Chesterfield*,62669,All Virtual,All Virtual,Low,51041,"4,974"
Clarke,1926,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51043,78
Colonial Heights,2899,All students 5 days in-person 5 hours a day,All students 5 days in-person 5 hours a day,Low,51570,219
Covington,1018,"All students PK-Grade 2, 5 days in-school. Grade 3-7, 5 days in-school and virtual (50% students)","Grade 8-12, 4 days in-school (50% students) and 1 days virtual ",High,51580,23
Craig,588,"All students PK-Grade 8, in-person 4 days and 1 day virtual",2 days in-school (50% students) and 3 days virtual ,High,51045,21
Culpeper,8521,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51047,"1,104"
Cumberland,1321,All virtual,All virtual,Low,51049,96
Danville,5702,All virtual,All virtual,Low,51590,582
Dickenson,2064,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51051,63
Dinwiddie,4347,"2 days in-person (50% students), 2 days at home learning","2 days in-person (50% students), 2 days at home learning",Moderate,51053,281
Emporia,0,No data,No data,None,51595,219
Essex,1320,All virtual ,All virtual ,only special need in-person,51057,116
Fairfax,188940,All Virtual,All Virtual,Low,51059,"18,084"
Fairfax City,1078,All Virtual,All Virtual,Low,51600,110
Falls Church,2649,All virtual,All virtual,Low,51610,66
Fauquier,11181,All Virtual,All Virtual,Low,51061,742
Floyd,1923,"PK-3, 4 days in-school and Grade 4-7, 2 days in-school(50% students) 1 day virtual",1 day in-school (25% students) and 4 days virtual,High,51063,140
Fluvanna,3549,All Virtual,All Virtual,Low,51065,222
Franklin City,7042,All virtual,All Virtual,Low,51620,283
Frankling County,7000,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51067,208
Frederick,13880,"All PK-1, 4 days in-person","Grade 2-12, 2 days in-school (50%) and 3 days virtual",Moderate,51069,757
Fredericksburg,3763,All virtual ,All virtual,Low,51630,472
Galax,1338,All virtual,All virtual,Low,51640,394
Giles,2394,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51071,37
Gloucester,5306,All Virtual,All Virtual,Low,51073,200
Goochland,2619,All Virtual,All Virtual,Low,51075,214
Grayson,1556,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51077,184
Greene,2978,All students 5 days in-school,2 days in-school (50% students) and 3 days virtual ,High,51079,199
Greensville,2223,All Virtual,All Virtual,Low,51081,668
Halifax,4896,All Virtual,All Virtual,Low,51083,202
Hampton,19590,All Virtual,All Virtual,Low,51650,"1,519"
Hanover,17541,All students 5 days in-school  (reduced and staggered bus timing),All students 5 days in-school  (reduced and staggered bus timing),High,51085,768
Harrisonburg,6613,All Virtual,All Virtual,Low,51660,"1,203"
Henrico,51786,All virtual,All virtual,Low,51087,"4,510"
Henry,7381,All virtual,All Virtual,Low,51089,809
Highland,218,All students in-person 5 days ,All students in-person 5 days ,High,51091,6
Hopewell,4283,All Virtual,All Virtual,Low,51670,338
Isle of Wight,5630,"PK-Grade 3, 2 days in-school (50% students) and 3 days virtual ","Grade 4-12, all virtual",Moderate,51093,519
James City,11400,All virtual,All virtual,Low,51095,726
King and Queen,833,"PK-7, 2 days in-school (50% students) and 3 days virtual","Grade 8-12, 3 groups (50% students)",Moderate,51097,49
King George,4518,All virtual ,All virtual,Low,51099,202
King William,2188,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51101,111
Lancaster,1079,All Virtual,All Virtual,Low,51103,66
Lee,3192,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51105,183
Lexington,503,All students 5 days in-school on shortned schedule,All students 5 days in-school on shortned schedule,High,51678,42
Loudoun,83936,All virtual,All virtual,Low,51107,"5,878"
Louisa,4987,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51109,243
Lunenburg,1590,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51111,93
Lynchburg,8238,2 days in-school (50% students) and 2 days virtual,All students virtual until September 8,Moderate,51680,936
Madison,1726,"All students K-3, 4 days in-school and 1 day virtual. Grade 4-5, 2 days in-school (50% students) and 3 days virtual","Grade 6-7, 2 days in-school (50% students) and 3 days virtual. Grade 8, 1 day in-school (50% student) and 4 days virtual",Moderate,51113,87
Manassas City,7789,All virtual ,All virtual,Low,51683,"1,782"
Manassas Park,3641,All virtual ,All virtual,Low,51685,558
