,County,Number of Students,Elementary school Plan,Secondary School Plan,Risk,FIPS,Cases
4,Amelia,1731,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51007,98
6,Appomatox,2279,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51011,157
9,Bath,530,"All students PK-Grade 2, 4 days in-school and 1 days virtual","All students PK-Grade 2, 4 days in-school and 1 days virtual",High,51017,4
10,Bedford,9562,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High,51019,526
12,Botetourt,4672,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High,51023,247
13,Bristol,2255,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51520,115
15,Buchanan,2676,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51027,97
17,Buena Vista City,895,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High,51530,72
18,Campbell,7921,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51031,310
28,Covington,1018,"All students PK-Grade 2, 5 days in-school. Grade 3-7, 5 days in-school and virtual (50% students)","Grade 8-12, 4 days in-school (50% students) and 1 days virtual ",High,51580,23
29,Craig,588,"All students PK-Grade 8, in-person 4 days and 1 day virtual",2 days in-school (50% students) and 3 days virtual ,High,51045,21
41,Floyd,1923,"PK-3, 4 days in-school and Grade 4-7, 2 days in-school(50% students) 1 day virtual",1 day in-school (25% students) and 4 days virtual,High,51063,140
51,Grayson,1556,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51077,184
52,Greene,2978,All students 5 days in-school,2 days in-school (50% students) and 3 days virtual ,High,51079,199
56,Hanover,17541,All students 5 days in-school  (reduced and staggered bus timing),All students 5 days in-school  (reduced and staggered bus timing),High,51085,768
60,Highland,218,All students in-person 5 days ,All students in-person 5 days ,High,51091,6
69,Lexington,503,All students 5 days in-school on shortned schedule,All students 5 days in-school on shortned schedule,High,51678,42
72,Lunenburg,1590,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51111,93
79,Mecklenburg,4205, All students 4 days in-school and 1 day virtual, All students 4 days in-school and 1 day virtual,High,51117,501
88,Norton,818,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51720,26
97,Powhatan,4356,"PK- Grade 3, all students 5 days in-school","Grade 4-12, 2 days in-school (50% students), 3 days virtual",High,51145,185
99,Prince George,6353,"All students 4 days in-school, 1 day virtual","All students 4 days in-school with 4 classes per semester, 1 day virtual",High,51149,506
105,Richmond County,1301,All students 4 days in-school and 1 day virtual (Alternate week),All students 4 days in-school and 1 day virtual (Alternate week),High,51159,326
107,Roanoke County,13999,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High,51161,598
129,Winchester,4392,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,High,51840,436
