County,Number of Students,Elementary school Plan,Secondary School Plan,Risk
Accomack,5171,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Albermarle,14435,All virtual ,All virtual ,Low
Alexandria,16307,All Virtual,All Virtual,Low
Alleghany,2024,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Amelia,1731,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
Amherst,4115,All students 4 days in-school on staggered schedule and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,Moderate
Appomatox,2279,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
Arlington,28151,All Virtual,All Virtual,Low
Augusta,10342,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Bath,530,"All students PK-Grade 2, 4 days in-school and 1 days virtual","All students PK-Grade 2, 4 days in-school and 1 days virtual",High
Bedford,9562,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
Bland,693,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Botetourt,4672,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
Bristol,2255,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
Brunswick,1538,All virtual ,All virtual ,Low
Buchanan,2676,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
Buckingham,2113,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Buena Vista City,895,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
Campbell,7921,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
Caroline,4253,All Virtual,All Virtual,Low
Carroll,3713,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Charles City,620,still planning,still planning,still planning
Charlotte,1763,All virtual ,All virtual,Low
Charolttesville,4549,All Virtual,All Virtual,Low
Cheaspeake,41597,All Virtual,All Virtual,Low
Chesterfield*,62669,All Virtual,All Virtual,Low
Clarke,1926,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Colonial Heights,2899,All students 5 days in-person 5 hours a day,All students 5 days in-person 5 hours a day,Low
Covington,1018,"All students PK-Grade 2, 5 days in-school. Grade 3-7, 5 days in-school and virtual (50% students)","Grade 8-12, 4 days in-school (50% students) and 1 days virtual ",High
