Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Accomack County Public Schools",,5171
"2019 - 2020",DIV,"Accomack County Public Schools",PG,9
"2019 - 2020",DIV,"Accomack County Public Schools",PK,179
"2019 - 2020",DIV,"Accomack County Public Schools",KG,348
"2019 - 2020",DIV,"Accomack County Public Schools",01,332
"2019 - 2020",DIV,"Accomack County Public Schools",02,357
"2019 - 2020",DIV,"Accomack County Public Schools",03,400
"2019 - 2020",DIV,"Accomack County Public Schools",04,368
"2019 - 2020",DIV,"Accomack County Public Schools",05,385
"2019 - 2020",DIV,"Accomack County Public Schools",06,423
"2019 - 2020",DIV,"Accomack County Public Schools",07,388
"2019 - 2020",DIV,"Accomack County Public Schools",08,404
"2019 - 2020",DIV,"Accomack County Public Schools",09,484
"2019 - 2020",DIV,"Accomack County Public Schools",10,380
"2019 - 2020",DIV,"Accomack County Public Schools",11,345
"2019 - 2020",DIV,"Accomack County Public Schools",12,369
"2019 - 2020",DIV,"Albemarle County Public Schools",,14435
"2019 - 2020",DIV,"Albemarle County Public Schools",PK,298
"2019 - 2020",DIV,"Albemarle County Public Schools",KG,1091
"2019 - 2020",DIV,"Albemarle County Public Schools",01,1081
"2019 - 2020",DIV,"Albemarle County Public Schools",02,1070
"2019 - 2020",DIV,"Albemarle County Public Schools",03,1062
"2019 - 2020",DIV,"Albemarle County Public Schools",04,1050
"2019 - 2020",DIV,"Albemarle County Public Schools",05,1151
"2019 - 2020",DIV,"Albemarle County Public Schools",06,1070
"2019 - 2020",DIV,"Albemarle County Public Schools",07,1108
"2019 - 2020",DIV,"Albemarle County Public Schools",08,983
"2019 - 2020",DIV,"Albemarle County Public Schools",09,1174
"2019 - 2020",DIV,"Albemarle County Public Schools",10,1111
"2019 - 2020",DIV,"Albemarle County Public Schools",11,1083
"2019 - 2020",DIV,"Albemarle County Public Schools",12,1103
"2019 - 2020",DIV,"Alexandria City Public Schools",,16307
"2019 - 2020",DIV,"Alexandria City Public Schools",PK,494
"2019 - 2020",DIV,"Alexandria City Public Schools",KG,1445
"2019 - 2020",DIV,"Alexandria City Public Schools",01,1489
"2019 - 2020",DIV,"Alexandria City Public Schools",02,1374
"2019 - 2020",DIV,"Alexandria City Public Schools",03,1341
"2019 - 2020",DIV,"Alexandria City Public Schools",04,1326
"2019 - 2020",DIV,"Alexandria City Public Schools",05,1225
"2019 - 2020",DIV,"Alexandria City Public Schools",06,1163
"2019 - 2020",DIV,"Alexandria City Public Schools",07,1219
"2019 - 2020",DIV,"Alexandria City Public Schools",08,1081
"2019 - 2020",DIV,"Alexandria City Public Schools",09,1275
"2019 - 2020",DIV,"Alexandria City Public Schools",10,975
"2019 - 2020",DIV,"Alexandria City Public Schools",11,929
"2019 - 2020",DIV,"Alexandria City Public Schools",12,971
"2019 - 2020",DIV,"Alleghany County Public Schools",,2024
"2019 - 2020",DIV,"Alleghany County Public Schools",PK,104
"2019 - 2020",DIV,"Alleghany County Public Schools",KG,186
"2019 - 2020",DIV,"Alleghany County Public Schools",01,131
"2019 - 2020",DIV,"Alleghany County Public Schools",02,136
"2019 - 2020",DIV,"Alleghany County Public Schools",03,132
"2019 - 2020",DIV,"Alleghany County Public Schools",04,124
"2019 - 2020",DIV,"Alleghany County Public Schools",05,147
"2019 - 2020",DIV,"Alleghany County Public Schools",06,150
"2019 - 2020",DIV,"Alleghany County Public Schools",07,143
"2019 - 2020",DIV,"Alleghany County Public Schools",08,155
"2019 - 2020",DIV,"Alleghany County Public Schools",09,170
"2019 - 2020",DIV,"Alleghany County Public Schools",10,148
"2019 - 2020",DIV,"Alleghany County Public Schools",11,141
"2019 - 2020",DIV,"Alleghany County Public Schools",12,157
"2019 - 2020",DIV,"Amelia County Public Schools",,1731
"2019 - 2020",DIV,"Amelia County Public Schools",PK,61
"2019 - 2020",DIV,"Amelia County Public Schools",KG,122
"2019 - 2020",DIV,"Amelia County Public Schools",01,103
"2019 - 2020",DIV,"Amelia County Public Schools",02,134
"2019 - 2020",DIV,"Amelia County Public Schools",03,115
"2019 - 2020",DIV,"Amelia County Public Schools",04,142
"2019 - 2020",DIV,"Amelia County Public Schools",05,130
"2019 - 2020",DIV,"Amelia County Public Schools",06,151
"2019 - 2020",DIV,"Amelia County Public Schools",07,134
"2019 - 2020",DIV,"Amelia County Public Schools",08,132
"2019 - 2020",DIV,"Amelia County Public Schools",09,138
