,County,Number of Students,Elementary school Plan,Secondary School Plan,Risk
7,Arlington,28151.0,All Virtual,All Virtual,Low
11,Harrisonburg,6613.0,All Virtual,All Virtual,Low
24,Chesterfield*,62669.0,All Virtual,All Virtual,Low
45,Fairfax,188940.0,Selective students 1 day in-school and 4 days virtual ,Selective students 1 day in-school and 4 days virtual ,Low
46,Fairfax City,1078.0,All students 1 day in-person and 4 days virtual ,All students 1 day in-person and 4 days virtual ,Low
47,Falls Church,2649.0,All virtual,All virtual,Low
49,Henrico,51786.0,All virtual,All virtual,Low
60,Loudoun,83936.0,All virtual,All virtual,Low
74,Norfolk,29851.0,All virtual,All virtual,Low
75,James City,11666.0,All virtual,All virtual,Low
78,Willamsburg,11805.0,All virtual,All virtual,Low
82,Charlotte,1763.0,All virtual ,All virtual,Low
83,Cumberland,1321.0,All virtual,All virtual,Low
90,Manassas City,7789.0,All virtual ,All virtual,Low
91,Manassas Park,3641.0,All virtual ,All virtual,Low
92,Prince William,92270.0,All virtual ,All virtual,Low
94,Fredericksburg,3763.0,All virtual ,All virtual,Low
95,King George,4518.0,All virtual ,All virtual,Low
96,Spotsylvania,23903.0,All virtual ,All virtual,Low
103,Richmond City,25212.0,All virtual ,All virtual ,Low
105,Brunswick,1538.0,All virtual ,All virtual ,Low
