,County,Number of Students,Elementary school Plan,Secondary School Plan,Risk
1,Alleghany,2024.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
8,Augusta,10342.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
14,Rockbridge,2819.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
16,Staunton,2738.0,2 days in-school (50% students) with modified schedule and 3 days virtual ,2 days in-school (50% students) with modified schedule and 3 days virtual ,Moderate
17,Waynesboro,2961.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
18,Amherst,4115.0,All students 4 days in-school on staggered schedule and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,Moderate
22,Lynchburg,8238.0,2 days in-school (50% students) and 2 days virtual,All students virtual until September 8,Moderate
28,Goochland,2619.0,"PK and K, 2 days in-school (50% students) and 3 days virtual ;Grade 1-8 4 days in-person (50% students) and 1 day virtual","Grade 9-12, 2 days in-school (50% students) and 3 days virtual ",Moderate
40,Dickenson,2064.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
41,Russell,3715.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
42,Tazewell,5587.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,Moderate
43,Accomack,5171.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
44,Northampton,1520.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
50,Lee,3192.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
53,Wise,5632.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
54,Clarke,1926.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
61,Bland,693.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
63,Carroll,3713.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
66,Smyth,4269.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
67,Washington,7052.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
68,Wythe,3982.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
71,Montgomery,10102.0,4 half days (50% students),4 half days (50% students),Moderate
72,Pulaski,4096.0,5 days in-school  (25% students),"Grade 6-8, Half day first week and all virtual from week 2. Grade 9-12, 5 days in-school  (25% students)",Moderate
73,Radford,1642.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
76,Newport News,28655.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
81,Buckingham,2113.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
85,Nottoway,1990.0,2 days in-school (?% students) and 3 days virtual ,2 days in-school (?% students) and 3 days virtual ,Moderate
97,Stafford,30120.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
98,Culpeper,8521.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
99,Fauquier,11181.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
100,Madison,1726.0,"All students K-3, 4 days in-school and 1 day virtual. Grade 4-5, 2 days in-school (50% students) and 3 days virtual","Grade 6-7, 2 days in-school (50% students) and 3 days virtual. Grade 8, 1 day in-school (50% student) and 4 days virtual",Moderate
101,Orange,5092.0,2 days in-school (50% students) and 3 days virtual ,"Grade 6-8, 2 days in-school and 3 days virtual. Grade 9-12, 1 day in-school (25% student) and 4 days virtual",Moderate
102,Rappahannock,791.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
110,Fluvanna,3549.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
112,Louisa,4987.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
116,King and Queen,833.0,"PK-7, 2 days in-school (50% students) and 3 days virtual","Grade 8-12, 3 groups (50% students)",Moderate
117,King William,2188.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
120,Middlesex,1208.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
121,Northumberland,1279.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
128,Martinsville,1930.0,2 days in-school (50% students) and 3 days virtual ,1 day in-school (50% students) and 4 days virtual ,Moderate
133,Suffolk,14323.0,1 day in-school (25% students) and 3 days virtual ,1 day in-school (25% students) and 3 days virtual ,Moderate
