,County,Number of Students,Elementary school Plan,Secondary School Plan,Risk
4,Amelia,1731.0,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
6,Appomatox,2279.0,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
9,Bath,530.0,"All students PK-Grade 2, 4 days in-school and 1 days virtual","All students PK-Grade 2, 4 days in-school and 1 days virtual",High
10,Bedford,9562.0,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
12,Botetourt,4672.0,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
13,Bristol,2255.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
15,Buchanan,2676.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
17,Buena Vista City,895.0,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
18,Campbell,7921.0,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
28,Covington,1018.0,"All students PK-Grade 2, 5 days in-school. Grade 3-7, 5 days in-school and virtual (50% students)","Grade 8-12, 4 days in-school (50% students) and 1 days virtual ",High
29,Craig,588.0,"All students PK-Grade 8, in-person 4 days and 1 day virtual",2 days in-school (50% students) and 3 days virtual ,High
41,Floyd,1923.0,"PK-3, 4 days in-school and Grade 4-7, 2 days in-school(50% students) 1 day virtual",1 day in-school (25% students) and 4 days virtual,High
51,Grayson,1556.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
52,Greene,2978.0,All students 5 days in-school,2 days in-school (50% students) and 3 days virtual ,High
56,Hanover,17541.0,All students 5 days in-school  (reduced and staggered bus timing),All students 5 days in-school  (reduced and staggered bus timing),High
60,Highland,218.0,All students in-person 5 days ,All students in-person 5 days ,High
69,Lexington,503.0,All students 5 days in-school on shortned schedule,All students 5 days in-school on shortned schedule,High
72,Lunenburg,1590.0,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
88,Norton,818.0,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
97,Powhatan,4356.0,"PK- Grade 3, all students 5 days in-school","Grade 4-12, 2 days in-school (50% students), 3 days virtual",High
99,Prince George,6353.0,"All students 4 days in-school, 1 day virtual","All students 4 days in-school with 4 classes per semester, 1 day virtual",High
105,Richmond County,1301.0,All students 4 days in-school and 1 day virtual (Alternate week),All students 4 days in-school and 1 day virtual (Alternate week),High
107,Roanoke County,13999.0,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
129,Winchester,4392.0,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,High
