Date,FIPS,County,Cases,,,
8/28/2020,51001,Accomack,"1,141",,,
8/28/2020,51003,Albemarle,"1,002",,,
8/28/2020,51510,Alexandria,"3,352",,,
8/28/2020,51005,Alleghany,64,,,
8/28/2020,51007,Amelia,98,,,
8/28/2020,51009,Amherst,277,,,
8/28/2020,51011,Appomattox,157,,,
8/28/2020,51013,Arlington,"3,492",,,
8/28/2020,51015,Augusta,354,,,
8/28/2020,51017,Bath,4,,,
8/28/2020,51019,Bedford,526,,,
8/28/2020,51021,Bland,42,,,
8/28/2020,51023,Botetourt,247,,,
8/28/2020,51520,Bristol,115,,,
8/28/2020,51025,Brunswick,281,,,
8/28/2020,51027,Buchanan,97,,,
8/28/2020,51029,Buckingham,644,,,
8/28/2020,51530,Buena Vista City,72,,,
8/28/2020,51031,Campbell,310,,,
8/28/2020,51033,Caroline,256,,,
8/28/2020,51035,Carroll,388,,,
8/28/2020,51036,Charles City,66,,,
8/28/2020,51037,Charlotte,67,,,
8/28/2020,51540,Charlottesville,623,,,
8/28/2020,51550,Chesapeake,"3,685",,,
8/28/2020,51041,Chesterfield,"4,974",,,
8/28/2020,51043,Clarke,78,,,
8/28/2020,51570,Colonial Heights,219,,,
8/28/2020,51580,Covington,23,,,
8/28/2020,51045,Craig,21,,,
8/28/2020,51047,Culpeper,"1,104",,,
8/28/2020,51049,Cumberland,96,,,
8/28/2020,51590,Danville,582,,,
8/28/2020,51051,Dickenson,63,,,
8/28/2020,51053,Dinwiddie,281,,,
8/28/2020,51595,Emporia,219,,,
8/28/2020,51057,Essex,116,,,
8/28/2020,51059,Fairfax,"18,084",,,
8/28/2020,51600,Fairfax City,110,,,
8/28/2020,51610,Falls Church,66,,,
8/28/2020,51061,Fauquier,742,,,
8/28/2020,51063,Floyd,140,,,
8/28/2020,51065,Fluvanna,222,,,
8/28/2020,51620,Franklin City,283,,,
8/28/2020,51067,Franklin County,208,,,
8/28/2020,51069,Frederick,757,,,
8/28/2020,51630,Fredericksburg,472,,,
8/28/2020,51640,Galax,394,,,
8/28/2020,51071,Giles,37,,,
8/28/2020,51073,Gloucester,200,,,
8/28/2020,51075,Goochland,214,,,
8/28/2020,51077,Grayson,184,,,
8/28/2020,51079,Greene,199,,,
8/28/2020,51081,Greensville,668,,,
8/28/2020,51083,Halifax,202,,,
8/28/2020,51650,Hampton,"1,519",,,
8/28/2020,51085,Hanover,768,,,
8/28/2020,51660,Harrisonburg,"1,203",,,
8/28/2020,51087,Henrico,"4,510",,,
8/28/2020,51089,Henry,809,,,
8/28/2020,51091,Highland,6,,,
8/28/2020,51670,Hopewell,338,,,
8/28/2020,51093,Isle of Wight,519,,,
8/28/2020,51095,James City,726,,,
8/28/2020,51097,King and Queen,49,,,
8/28/2020,51099,King George,202,,,
8/28/2020,51101,King William,111,,,
8/28/2020,51103,Lancaster,66,,,
8/28/2020,51105,Lee,183,,,
8/28/2020,51678,Lexington,42,,,
8/28/2020,51107,Loudoun,"5,878",,,
8/28/2020,51109,Louisa,243,,,
8/28/2020,51111,Lunenburg,93,,,
8/28/2020,51680,Lynchburg,936,,,
8/28/2020,51113,Madison,87,,,
8/28/2020,51683,Manassas City,"1,782",,,
8/28/2020,51685,Manassas Park,558,,,
8/28/2020,51690,Martinsville,316,,,
8/28/2020,51115,Mathews,23,,,
8/28/2020,51117,Mecklenburg,501,,,
8/28/2020,51119,Middlesex,55,,,
8/28/2020,51121,Montgomery,427,,,
8/28/2020,51125,Nelson,83,,,
8/28/2020,51127,New Kent,147,,,
8/28/2020,51700,Newport News,"2,216",,,
8/28/2020,51710,Norfolk,"4,328",,,
8/28/2020,51131,Northampton,303,,,
8/28/2020,51133,Northumberland,86,,,
8/28/2020,51720,Norton,26,,,
8/28/2020,51135,Nottoway,194,,,
8/28/2020,51137,Orange,257,,,
8/28/2020,51139,Page,360,,,
8/28/2020,51141,Patrick,217,,,
8/28/2020,51730,Petersburg,614,,,
8/28/2020,51143,Pittsylvania,714,,,
8/28/2020,51735,Poquoson,63,,,
8/28/2020,51740,Portsmouth,"2,186",,,
8/28/2020,51145,Powhatan,185,,,
8/28/2020,51147,Prince Edward,478,,,
8/28/2020,51149,Prince George,506,,,
8/28/2020,51153,Prince William,"10,648",,,
8/28/2020,51155,Pulaski,126,,,
8/28/2020,51750,Radford,282,,,
8/28/2020,51157,Rappahannock,53,,,
8/28/2020,51760,Richmond City,"3,795",,,
8/28/2020,51159,Richmond County,326,,,
8/28/2020,51770,Roanoke City,"1,179",,,
8/28/2020,51161,Roanoke County,598,,,
8/28/2020,51163,Rockbridge,84,,,
8/28/2020,51165,Rockingham,"1,032",,,
8/28/2020,51167,Russell,177,,,
8/28/2020,51775,Salem,208,,,
8/28/2020,51169,Scott,148,,,
8/28/2020,51171,Shenandoah,764,,,
8/28/2020,51173,Smyth,253,,,
8/28/2020,51175,Southampton,338,,,
8/28/2020,51177,Spotsylvania,"1,769",,,
8/28/2020,51179,Stafford,"1,660",,,
8/28/2020,51790,Staunton,170,,,
8/29/2020,51800,Suffolk,"1,620",,,
8/28/2020,51800,Suffolk,"1,603",,,
8/28/2020,51181,Surry,63,,,
8/28/2020,51183,Sussex,334,,,
8/28/2020,51185,Tazewell,186,,,
8/29/2020,51810,Virginia Beach,"5,948",,,
8/28/2020,51810,Virginia Beach,"5,906",,,
8/28/2020,51187,Warren,389,,,
8/28/2020,51191,Washington,345,,,
8/29/2020,51820,Waynesboro,214,,,
