locations,studentNum,Elem_plan,Second_plan,Risk
Alexandria,16307,Final plan August 12,Final Plan August 12,
Alleghany,2024,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Botetourt,4672,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
Covington,1018,Still planning,,still planning
Craig,588,All students in-person 4 days and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
Roanoke County,13999,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High
Salem,3931,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students; Staggered) and 3 days virtual ",High
Arlington,28151,All Virtual,All Virtual,Low
Augusta,10342,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Bath,530,still planning,,still planning
Buena Vista City,895,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
Harrisonburg,6613,All Virtual,All Virtual,Low
Highland,218,still planning,,still planning
Lexington,503,All students 5 days in-school on shortned schedule,All students 5 days in-school on shortned schedule,High
Rockbridge,2819,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Rockingham,11928,still planning,,still planning
Staunton,2738,2 days in-school (50% students) with modified schedule and 3 days virtual ,2 days in-school (50% students) with modified schedule and 3 days virtual ,Moderate
Waynesboro,2961,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Amherst,4115,All students 4 days in-school on staggered schedule and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,Moderate
Appomatox,2279,still planning,,still planning
Bedford,9562,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High
Campbell,7921,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
Lynchburg,8238,2 days in-school (50% students) and 2 days virtual,All students virtual until September 8,Moderate
Cheaspeake,41597,still planning,,still planning
Chesterfield*,62669,All Virtual,All Virtual,Low
Colonial Heights,2899,still planning,,still planning
Powhatan,4356,still planning,,still planning
Charles City,620,still planning,,still planning
Goochland,2619,"PK and K, 2 days in-school (50% students) and 3 days virtual ;Grade 1-8 4 days in-person (50% students) and 1 day virtual","Grade 9-12, 2 days in-school (50% students) and 3 days virtual ",Moderate
Hanover,17541,All students 5 days in-school  (reduced and staggered bus timing),All students 5 days in-school  (reduced and staggered bus timing),High
New Kent,3354,still planning,,still planning
Dinwiddie,4347,still planning,,still planning
Emporia,,,,
Greensville,2223,still planning,,still planning
Hopewell,4283,still planning,,still planning
Petersburg,4211,still planning,,still planning
Prince George,6353,still planning,,still planning
Surry,738,still planning,,still planning
Sussex,1095,still planning,,still planning
Buchanan,2676,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
Dickenson,2064,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Russell,3715,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Tazewell,5587,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,Moderate
Accomack,5171,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Northampton,1520,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Fairfax,188940,Selective students 1 day in-school and 4 days virtual ,Selective students 1 day in-school and 4 days virtual ,Low
Fairfax City,1078,All students 1 day in-person and 4 days virtual ,All students 1 day in-person and 4 days virtual ,Low
Falls Church,2649,All virtual,All virtual,Low
Hampton,19590,still planning,,
Henrico,51786,All virtual,All virtual,Low
Lee,3192,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Norton,818,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
Scott,3512,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High
Wise,5632,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Clarke,1926,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Frederick,13880,still planning,,still planning
